date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:39:06 2021,"
Penthouse à vendre à LUXEMBOURG-CENTS
1HGLG
",TRUE,TRUE,TRUE,1 250 000,https://www.immotop.lu/properties/used/apartment/penthouse/2494276,207,,2,2010,0,98.34.,0,1,0,0,2,0,0.35000000000000003,2
Fri May 07 23:39:07 2021,"
Maison à vendre à LUXEMBOURG-BEGGEN
1HGKS
",TRUE,FALSE,TRUE,1 199 000,https://www.immotop.lu/properties/used/house/2494252,208,,4,1940,1,145. C,0,1,0,0,-1,0,0.35000000000000003,4
Fri May 07 23:37:10 2021,"
Appartement à vendre à LUXEMBOURG-PFAFFENTHAL
1HFQG
",TRUE,FALSE,TRUE,995 000,https://www.immotop.lu/properties/new/apartment/2493160,75,,2,2018,0,72. Ch,0,0,0,0,1,0,0.30000000000000004,2
Fri May 07 23:37:10 2021,"
Appartement à vendre à LUXEMBOURG-PFAFFENTHAL
1HFQD
",TRUE,FALSE,TRUE,880 000,https://www.immotop.lu/properties/new/apartment/2493157,75,,1,2018,0,60. Ch,0,0,0,0,2,0,0.30000000000000004,1
Fri May 07 23:37:22 2021,"
Appartement à vendre à LUXEMBOURG-PFAFFENTHAL
1HFP7
",TRUE,FALSE,TRUE,995 000,https://www.immotop.lu/properties/new/apartment/2493115,81,,2,2018,0,72. Ch,0,0,0,0,1,0,0.30000000000000004,2
Fri May 07 23:39:33 2021,"
Appartement à vendre à LUXEMBOURG-PFAFFENTHAL
1HFPM
",TRUE,FALSE,TRUE,880 000,https://www.immotop.lu/properties/new/apartment/2493130,241,,1,2018,0,60. Ch,0,0,0,0,2,0,0.30000000000000004,1
Fri May 07 23:39:19 2021,"
Duplex à vendre à LUXEMBOURG-WEIMERSHOF
1HG67
",TRUE,FALSE,TRUE,2 540 000,https://www.immotop.lu/properties/used/apartment/duplex/2493727,224,,5,1994,1,260. C,0,0,0,0,-1,0,0.3,5
Fri May 07 23:39:24 2021,"
Maison à vendre à LUXEMBOURG-BELAIR
1HG4S
",TRUE,FALSE,TRUE,2 190 000,https://www.immotop.lu/properties/used/house/2493676,228,,5,1936,1,188. C,0,0,0,0,-1,0,0.3,5
Fri May 07 23:39:24 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1HG3V
",TRUE,FALSE,TRUE,2 540 000,https://www.immotop.lu/properties/new/house/2493643,228,,5,-1,1,250. C,0,0,0,0,-1,0,0.3,5
Fri May 07 23:39:24 2021,"
Maison à vendre à LUXEMBOURG-CESSANGE
1HG3S
",TRUE,FALSE,TRUE,2 644 000,https://www.immotop.lu/properties/new/house/2493640,229,,5,-1,1,248. C,0,0,0,0,-1,0,0.3,5
